"filename", "language", "JavaScript", "HTML", "JSON", "Markdown", "Vue", "Less", "Properties", "comment", "blank", "total"
"f:\Desktop\job\外包\中国人民公安大学项目\chart_client\src\untils2\topic.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 7, 1, 40
"f:\Desktop\job\外包\中国人民公安大学项目\chart_client\src\untils2\visitCount.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 4, 1, 55
"f:\Desktop\job\外包\中国人民公安大学项目\chart_client\src\untils2\warning.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 23
"f:\Desktop\job\外包\中国人民公安大学项目\chart_client\src\untils\effectList.js", "JavaScript", 281, 0, 0, 0, 0, 0, 0, 0, 1, 282
"f:\Desktop\job\外包\中国人民公安大学项目\chart_client\src\untils\jquery-1.11.3.min.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 1, 1, 5
"f:\Desktop\job\外包\中国人民公安大学项目\chart_client\src\untils\newsetDate.js", "JavaScript", 14486, 0, 0, 0, 0, 0, 0, 88, 645, 15219
"f:\Desktop\job\外包\中国人民公安大学项目\chart_client\src\untils\topic.js", "JavaScript", 105, 0, 0, 0, 0, 0, 0, 7, 1, 113
"f:\Desktop\job\外包\中国人民公安大学项目\chart_client\src\untils\visitCount.js", "JavaScript", 118, 0, 0, 0, 0, 0, 0, 4, 1, 123
"f:\Desktop\job\外包\中国人民公安大学项目\chart_client\src\untils\warning.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 36
"f:\Desktop\job\外包\中国人民公安大学项目\chart_client\static\js\chinamap\china.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 4, 0, 28
"Total", "-", 33208, 13, 14420, 172, 2353, 1034, 8, 482, 1803, 53493
